"vehicle_category_id","vehicle_category_name","seating_capacity","max_capacity","folding_seats","wheelchair_boarding","wheelchair_capacity","wheelchair_spots","bike_boarding","bike_spots","bike_rack_capacity","luggage_boarding","pets_boarding","service_animal_allowed","ac_availability","ac_level","ac_temperature","wifi_availability","usb_charging_availability","vehicle_length","vehicle_width","floor_height","stair_count","vehicle_type_code","contactless_payment_onboard","video_surveillance_availability","passenger_counting_availability"
"45U","S 417 UL EURO 4","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"46U","380.12.35 EUROCLASS","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"47U","EURORIDER 391E.12.29","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"48U","100.E.18","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"49U","DALLAVIA TIZIANO 380.12.38","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"50U","IVECO CROSSWAY LE 12 E","","104","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"51U","BMC","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"52U","IRISBUS CROSSWAY LE 12 S","","104","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"53U","IVECO DAILY A40","","14","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"54U","IIA MENARINIBUS CITYMOOD CNG 12","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","1","1","1"
"55U","IVECO URBANWAY CNG 18","","140","","2","1","","0","","","0","0","0","0","","","0","0","18","","","","3","1","1","1"
"56U","IVECO EWAY 12M","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","1","1","1"
"57U","INDCAR BLUEBUS 6M","","35","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"58U","IVECO EWAY 18M","","130","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"59U","IVECO EWAY BRT 18M","","130","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"60U","CITELIS","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"61U","sinergy sdd","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"62U","S 417 UL","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"63U","65c17","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"64U","A50/E4/21/B","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"65U","CYTARO 628","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"66U","M 201/2 NS/85","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"67U","BB 2001","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"68U","M 220 NU","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"69U","200E.8.13/S46","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"70U","M 220/E NS","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"71U","IVECO 49E12 52 POLLICINO 35P","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"72U","65C.1","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"73U","100E 21N","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"74U","MODELLO BANCO DI PROVA","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"99U","BANCO PROVA","","1","","1","0","","0","","","0","0","0","0","","","0","0","1","","","","3","0","1","0"
"101U","Bus Company - Mercedes Sprinter 6m","","14","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"102U","Bus Company - Neoman A21 NL 283/2T","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"103U","Bus Company - MAN Lions City NL313 A21 12m","","102","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"104U","Bus Company - MAN Lions City NL313 A21 8m","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"105U","Bus Company - MB CONECTO 3P","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"106U","Bus Company - Mercedes O530 Citaro","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"107U","Bus Company - Iveco Urbanway","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"108U","Bus Company - Higer","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"109U","Bus Company - Crossway LE","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"110U","Canova - Mercedes 0530 Citaro FL","","99","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"111U","Canova - IRISBUS - Cacciamali - 200E","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"112U","Canova - IRISBUS CITELIS PS09D1 EEV 12 U","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"113U","Canova - IVECO - Breda Menarini - M240/E3","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"114U","Canova - IVECO - Cacciamali - 200E.10.20","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"115U","Canova - IVECO - Cacciamali - 80E.15.3.1","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"116U","Canova - IVECO - Cacciamali - C5070/100E21","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"117U","Canova - IVECO - FIAT - 200E 8.13/U59","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"118U","Canova - IVECO - Minerva - 65C/70 M","","15","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"119U","Canova - IVECO 490.10.22","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"120U","Canova - MERCEDES - New Car - 414T","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"121U","Canova - Mercedes Sprinter 6m","","14","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"122U","Canova - SCANIA - Scania - CN94UB","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"123U","Canova - VDL - Berkhof","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"124U","Canova - Europolis 7m","","15","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"125U","Canova - Mercedes O816","","15","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"126U","Canova - Breda Menarini 231 MU Vivacity","","71","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"127U","Canova - Scania OmniCity","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"128U","Canova - Daily","","14","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"129U","Canova - Scania CityWide","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"130U","Cavourese - E-Ducato","","30","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"131U","Cavourese - Mercedes 0530 Citaro","","80","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"132U","Cavourese - Solaris Urbino 12","","87","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"133U","Cavourese - MAN A78","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"134U","AGI - BAZN City Joy","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"135U","AGI - BAZN Euro Light","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"141U","Giachino - Mercedes 0530 Citaro","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"142U","Giachino - Solaris Urbino 12","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"143U","Giachino - Man Lions Regio","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"144U","Giachino - Otokar Kent","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"145U","Giachino - Iveco Crossway LE","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"146U","Giachino - Zonson Granton 10m","","60","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"147U","Giachino - Zonson Granton 12m","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"148U","Giachino - Fiat E-Ducato","","30","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"149U","Giachino - Iveco Streetway","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"151U","Sadem - Citelis 491","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"152U","Sadem - Europolis","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"153U","Sadem - Solaris Urbino 12","","87","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"171U","Vigo - Cacciamali 65C C65U 1/70","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"172U","Vigo - Irisbus France","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"173U","Vigo - Iveco 100E21N","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"174U","Vigo - Iveco 65C15/70 Cacciamali","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"175U","Vigo - Otkar Kent 290 LF","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"181U","VITA - BMC SANAYI TACRET","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
