"timetable_page_id","timetable_page_label","filename"
"2009E_Di","LINEA 2009 - Autolinea delle Langhe (Dir. Grinzane - Sinio)","2009E_Di.html"
"2014E_As","LINEA 2014 - Torino - Poirino - Alba","2014E_As.html"
"2014E_Di","LINEA 2014 - Torino - Poirino - Alba","2014E_Di.html"
"2016E_As","LINEA 2016 - Canale - Sommariva - Racconigi","2016E_As.html"
"2016E_Di","LINEA 2016 - Canale - Sommariva - Racconigi","2016E_Di.html"
"2027E_As","LINEA 2027 - Canale - S.Damiano - Asti","2027E_As.html"
"2027E_Di","LINEA 2027 - Canale - S.Damiano - Asti","2027E_Di.html"
"2073E_As","LINEA 2073 - Linea operaia - Borgo Aje - Cambiano - Santena - Villastellone - Carmagnola","2073E_As.html"
"2073E_Di","LINEA 2073 - Linea operaia - Borgo Aje - Cambiano - Santena - Villastellone - Carmagnola","2073E_Di.html"
"20U_As","LINEA 20 - via Paganini (Settimo T.se) - Park Stura (feriale)/piazza Mochino (festivo)","20U_As.html"
"20U_Di","LINEA 20 - via Paganini (Settimo T.se) - Park Stura (feriale)/piazza Mochino (festivo)","20U_Di.html"
"2172E_As","LINEA 2172 - Autolinea delle Langhe (Dir. Monforte - Dogliani)","2172E_As.html"
"2172E_Di","LINEA 2172 - Autolinea delle Langhe (Dir. Monforte - Dogliani)","2172E_Di.html"
"2183E_As","LINEA 2183 - Canale - Fossano","2183E_As.html"
"2183E_Di","LINEA 2183 - Canale - Fossano","2183E_Di.html"
"22U_As","LINEA 22 - speciale stabilimenti, corso Sebastopoli - strada Cascinette","22U_As.html"
"22U_Di","LINEA 22 - speciale stabilimenti, corso Sebastopoli - strada Cascinette","22U_Di.html"
"2354E_As","LINEA 2354 - Carignano - Santena - Cambiano","2354E_As.html"
"2354E_Di","LINEA 2354 - Carignano - Santena - Cambiano","2354E_Di.html"
"24U_As","LINEA 24 - speciale stabilimenti, via Vigliani - strada Cascinette","24U_As.html"
"24U_Di","LINEA 24 - speciale stabilimenti, via Vigliani - strada Cascinette","24U_Di.html"
"25U_As","LINEA 25 - speciale stabilimenti, via Lombardia (Settimo T.se) - lungo Stura Lazio","25U_As.html"
"25U_Di","LINEA 25 - speciale stabilimenti, via Lombardia (Settimo T.se) - lungo Stura Lazio","25U_Di.html"
"26U_As","LINEA 26 - corso Vercelli (Park Stura) - borgata Villaretto - via Italia (Borgaro)","26U_As.html"
"26U_Di","LINEA 26 - corso Vercelli (Park Stura) - borgata Villaretto - via Italia (Borgaro)","26U_Di.html"
"27U_As","LINEA 27 - via Anglesio - via XX Settembre","27U_As.html"
"27U_Di","LINEA 27 - via Anglesio - via XX Settembre","27U_Di.html"
"29U_As","LINEA 29 - piazzale Vallette - piazza Solferino","29U_As.html"
"29U_Di","LINEA 29 - piazzale Vallette - piazza Solferino","29U_Di.html"
"2CU_As","LINEA 2 Chieri - feriale, piazza Rossi (Pessione) - via Vittorio Emanuele II (Chieri)","2CU_As.html"
"2CU_Di","LINEA 2 Chieri - feriale, piazza Rossi (Pessione) - via Vittorio Emanuele II (Chieri)","2CU_Di.html"
"2U_As","LINEA 2 - via Ponchielli - via Corradino","2U_As.html"
"2U_Di","LINEA 2 - via Ponchielli - via Corradino","2U_Di.html"
"3006E_As","LINEA 3006 - Torino - Settimo - Vallecerrina - Casale","3006E_As.html"
"3006E_Di","LINEA 3006 - Torino - Settimo - Vallecerrina - Casale","3006E_Di.html"
"3023E_As","LINEA 3023 - Vallecerrina - Asti","3023E_As.html"
"3023E_Di","LINEA 3023 - Vallecerrina - Asti","3023E_Di.html"
"3092E_As","LINEA 3092 - Torino - Forno / San Maurizio - Forno","3092E_As.html"
"3092E_Di","LINEA 3092 - Torino - Forno / San Maurizio - Forno","3092E_Di.html"
"3096E_As","LINEA 3096 - Gassino - Sciolze","3096E_As.html"
"3096E_Di","LINEA 3096 - Gassino - Sciolze","3096E_Di.html"
"30U_As","LINEA 30 - via Gozzano (Chieri) - corso San Maurizio","30U_As.html"
"30U_Di","LINEA 30 - via Gozzano (Chieri) - corso San Maurizio","30U_Di.html"
"3105E_As","LINEA 3105 - Chivasso - Asti","3105E_As.html"
"3105E_Di","LINEA 3105 - Chivasso - Asti","3105E_Di.html"
"3106E_As","LINEA 3106 - Crescentino - Chivasso - Torino FCA","3106E_As.html"
"3106E_Di","LINEA 3106 - Crescentino - Chivasso - Torino FCA","3106E_Di.html"
"3107E_As","LINEA 3107 - Torino - Settimo - Gassino - Chivasso - Piovà Massaia","3107E_As.html"
"3107E_Di","LINEA 3107 - Torino - Settimo - Gassino - Chivasso - Piovà Massaia","3107E_Di.html"
"3121E_As","LINEA 3121 - Castagneto Po - Chivasso","3121E_As.html"
"3121E_Di","LINEA 3121 - Castagneto Po - Chivasso","3121E_Di.html"
"3131E_As","LINEA 3131 - Torino - Lombardore - Rivarolo","3131E_As.html"
"3131E_Di","LINEA 3131 - Torino - Lombardore - Rivarolo","3131E_Di.html"
"3132E_As","LINEA 3132 - Rivarolo - Castellamonte","3132E_As.html"
"3132E_Di","LINEA 3132 - Rivarolo - Castellamonte","3132E_Di.html"
"3133E_As","LINEA 3133 - Torino - Ivrea","3133E_As.html"
"3133E_Di","LINEA 3133 - Torino - Ivrea","3133E_Di.html"
"3165E_As","LINEA 3165 - Torino - Malanghero - Cirié","3165E_As.html"
"3165E_Di","LINEA 3165 - Torino - Malanghero - Cirié","3165E_Di.html"
"3166E_As","LINEA 3166 - Torino - Volpiano - San Benigno","3166E_As.html"
"3166E_Di","LINEA 3166 - Torino - Volpiano - San Benigno","3166E_Di.html"
"32U_As","LINEA 32 - piazza Robotti (Alpignano) - corso Tassoni","32U_As.html"
"32U_Di","LINEA 32 - piazza Robotti (Alpignano) - corso Tassoni","32U_Di.html"
"3310E_As","LINEA 3310 - Villareggia - Caluso","3310E_As.html"
"3310E_Di","LINEA 3310 - Villareggia - Caluso","3310E_Di.html"
