"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"30","1085E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Fiat Rivalta - Torino","domenica e festivi","horizontal","1085E_Di","2","","0","0"
"31","1086E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Giaveno - Trana - Rivoli","dal lunedì al venerdì","horizontal","1086E_As","0","","0","0"
"32","1086E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Giaveno - Trana - Rivoli","sabato","horizontal","1086E_As","1","","0","0"
"33","1086E","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Giaveno - Trana - Rivoli","domenica e festivi","horizontal","1086E_As","2","","0","0"
"34","1086E","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Rivoli - Trana - Giaveno","dal lunedì al venerdì","horizontal","1086E_Di","0","","0","0"
"35","1086E","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Rivoli - Trana - Giaveno","sabato","horizontal","1086E_Di","1","","0","0"
"36","1086E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Rivoli - Trana - Giaveno","domenica e festivi","horizontal","1086E_Di","2","","0","0"
"37","1087E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Ferriera - Avigliana - Rivoli","dal lunedì al venerdì","horizontal","1087E_As","0","","0","0"
"38","1087E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Ferriera - Avigliana - Rivoli","sabato","horizontal","1087E_As","1","","0","0"
"39","1087E","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Ferriera - Avigliana - Rivoli","domenica e festivi","horizontal","1087E_As","2","","0","0"
"40","1087E","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Rivoli - Avigliana - Ferriera","dal lunedì al venerdì","horizontal","1087E_Di","0","","0","0"
"41","1087E","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Rivoli - Avigliana - Ferriera","sabato","horizontal","1087E_Di","1","","0","0"
"42","1087E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Rivoli - Avigliana - Ferriera","domenica e festivi","horizontal","1087E_Di","2","","0","0"
"43","1091E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Collegno - Rubiana","dal lunedì al venerdì","horizontal","1091E_As","0","","0","0"
"44","1091E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Collegno - Rubiana","sabato","horizontal","1091E_As","1","","0","0"
