"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"66U","U","66","feriale, via Crea (Grugliasco) - corso Farini","CORSO FARINI -- VIA CREA (GRUGLIASCO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=66&Regol=OR","FF9900","0000FF","80"
"67U","U","67","piazza Marconi (Moncalieri) - piazza Arbarello (feriale)/via Scialoja (festivo)","P. ARBARELLO FER./VIA SCIALOJA FEST. -- PIAZZA MARCONI (MONCALIERI)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=67&Regol=GE","FF9900","0000FF","81"
"68U","U","68","via Cafasso - via Frejus","VIA FREJUS -- VIA CAFASSO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=68&Regol=GE","FF9900","0000FF","82"
"68BU","U","68+","Campus Einaudi - Porta Nuova","P.CARLO FELICE -- CORSO TORTONA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=68B&Regol=GE","FF9900","0000FF","281"
"69U","U","69","via Italia (Borgaro) - via Fossata","VIA FOSSATA -- VIA ITALIA (BORGARO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=69&Regol=OR","FF9900","0000FF","83"
"70U","U","70","piazza Failla (Moncalieri) - corso San Maurizio","CORSO SAN MAURIZIO -- PIAZZA FAILLA (MONCALIERI)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=70&Regol=OR","FF9900","0000FF","84"
"71U","U","71","via Farinelli - via Servais","VIA SERVAIS -- VIA FARINELLI","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=71&Regol=GE","FF9900","0000FF","85"
"72U","U","72","corso Machiavelli (Venaria Reale) - via Bertola","VIA BERTOLA -- CORSO MACHIAVELLI (VENARIA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=72&Regol=GE","FF9900","0000FF","86"
"72BU","U","72 /","feriale, corso Machiavelli (Venaria Reale) - via Bertola","VIA BERTOLA -- CORSO MACHIAVELLI (VENARIA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=72B&Regol=GE","FF9900","0000FF","87"
"73U","U","73","via Bonsignore - piazza Zara","PIAZZA ZARA -- VIA BONSIGNORE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=73&Regol=OR","FF9900","0000FF","88"
"74U","U","74","via Gorini - via Ventimiglia","VIA VENTIMIGLIA -- VIA GORINI","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=74&Regol=GE","FF9900","0000FF","89"
"75U","U","75","piazzale Vallette - largo Tabacchi","LARGO TABACCHI -- PIAZZALE VALLETTE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=75&Regol=GE","FF9900","0000FF","90"
"76U","U","76","via Olevano (Grugliasco) - viale Partigiani (Collegno)","VIALE PARTIGIANI (COLLEGNO) -- VIA OLEVANO (GRUGLIASCO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=76&Regol=OR","FF9900","0000FF","91"
"77U","U","77","feriale, via Sandre (Venaria Reale) - corso Cadore","CORSO CADORE -- VIA SANDRE (VENARIA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=77&Regol=OR","FF9900","0000FF","92"
"78U","U","78","feriale, largo Casale - strada Alta di Mongreno","STRADA ALTA DI MONGRENO -- LARGO CASALE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=78&Regol=OR","FF9900","0000FF","93"
"79BU","U","79 /","feriale, piazza G. Modena - Superga - via Cordova (Baldissero T.se)","BALDISSERO - SUPERGA -- SASSI","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=79B&Regol=OR","FF9900","0000FF","94"
"8U","U","8","via Mezzaluna (San Mauro T.se) - corso Bolzano","CORSO BOLZANO -- VIA MEZZALUNA (SAN MAURO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=8&Regol=OR","FF9900","0000FF","295"
"80U","U","80","feriale, piazza Caduti per la Libertà (Moncalieri) - strada Moncalvo","STRADA MONCALVO -- P.BADEN BADEN(MONCALIERI)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=80&Regol=OR","FF9900","0000FF","95"
"81U","U","81","feriale, via delle Primule (Moncalieri) - corso Maroncelli","CORSO MARONCELLI -- VIA DELLE PRIMULE (MONCALIERI)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=81&Regol=OR","FF9900","0000FF","96"
"82U","U","82","piazza Caduti per la Libertà (Moncalieri) - strada Carpice (Moncalieri)","STRADA CARPICE (MONCALIERI) -- P. CADUTI PER LA LIBERTÀ (MONCALIERI)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=82&Regol=OR","FF9900","0000FF","97"
"83U","U","83","via Goito - Movicentro (Trofarello) - str. Bauducchi (Moncalieri) - Villastellone","VIA GOITO - STRADA BAUDUCCHI -- TROFARELLO - VILLASTELLONE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=83&Regol=OR","FF9900","0000FF","98"
"84U","U","84","feriale, via Corradino - strada Carpice (Moncalieri)","STRADA CARPICE (MONCALIERI) -- VIA CORRADINO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=84&Regol=OR","FF9900","0000FF","99"
"90U","U","90","speciale stabilimenti, via delle Querce - via Biscaretti","OSPEDALE SAN LUIGI -- STRADA VOLVERA (ORBASSANO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=90&Regol=OR","FF9900","0000FF","100"
"91U","U","91","speciale stabilimenti, via della Cella - piazzale Caio Mario","PIAZZALE CAIO MARIO -- VIA DELLA CELLA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=91&Regol=OR","FF9900","0000FF","101"
"92U","U","92","speciale stabilimenti, piazza del Donatore di Sangue - piazzale Caio Mario","PIAZZALE CAIO MARIO -- PIAZZA DONATORE DI SANGUE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=92&Regol=OR","FF9900","0000FF","102"
"93BU","U","93 /","speciale stabilimenti, piazza Mochino (San Mauro) - corso Tazzoli","CORSO TAZZOLI -- PIAZZA MOCHINO (SAN MAURO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=93B&Regol=OR","FF9900","0000FF","103"
"94U","U","94","speciale stabilimenti, piazza Statuto - via Biscaretti","VIA BISCARETTI -- PIAZZA STATUTO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=94&Regol=OR","FF9900","0000FF","104"
