ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
068000000516,halagpdt,,,IRON BRIDGE,,Iron Bridge,,Iron Bridge,,Halton Road,,,,,,W,E0037812,Castle Rise,Runcorn,,Runcorn,EN,Castle Rise,EN,false,UKOS,352338,382802,-2.71729,53.33996,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000517,halagpdw,,,HALFWAY HOUSE,,Halfway House,,Halfway House,,Halton Road,,,,,,E,E0037812,Castle Rise,Runcorn,,Runcorn,EN,Castle Rise,EN,false,UKOS,352712,382710,-2.71165,53.33917,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000518,halagpga,,,HALFWAY HOUSE,,Halfway House,,Halfway House,,Halton Road,,,,,,W,E0037812,Castle Rise,Runcorn,,Runcorn,EN,Castle Rise,EN,false,UKOS,352607,382728,-2.71323,53.33932,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000532,halagpma,,,LANGDALE ROAD,,Langdale Road,,Langdale Road,,Heath Road,,,,,,S,E0037841,Runcorn,,,Runcorn,EN,Runcorn,EN,false,UKOS,351704,381878,-2.72667,53.3316,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000533,halagpmd,,,LANGDALE ROAD,,Langdale Road,,Langdale Road,,Heath Road,,,,,,N,E0037841,Runcorn,,,Runcorn,EN,Runcorn,EN,false,UKOS,351711,381922,-2.72657,53.33199,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000525,halagpja,,,GRANGE SCHOOL,,Grange School,,Grange Comprehensive,,Latham Avenue,,,,,,NW,E0037823,Halton Brook,Runcorn,,Runcorn,EN,Halton Brook,EN,false,UKOS,352393,382135,-2.71636,53.33397,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000815,halagmam,,,Manor Park Roundabout,,Manor Pk Roundabout,,Manor Park Roundabout,,Manor Park Avenue,,,,opp,,S,N0065325,Manor Park,Runcorn,,Runcorn,EN,Manor Park,EN,false,UKOS,355355,383962,-2.67214,53.35065,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2024-10-29T11:27:03,55,new,active
068000000816,halmtpga,,,Manor Park,,Business Post,,Blackheath Lane,,Business Post,,,,In,,SW,E0037824,Halton Moss,Moore,,Runcorn,EN,Halton Moss,EN,false,UKOS,356492,383969,-2.65506,53.35081,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000817,halmwptp,,,Manor Park,,Hagemeyer,,Blackheath Lane,,Hagemeyer,,,,In,,NE,E0037824,Halton Moss,Moore,,Runcorn,EN,Halton Moss,EN,false,UKOS,356608,384237,-2.65336,53.35323,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000818,halpawgj,,,Manor Park,,Lidl,,Gate Road,,Lidl,,,,,,SW,E0037824,Halton Moss,Moore,,Runcorn,EN,Halton Moss,EN,false,UKOS,356178,384338,-2.65983,53.3541,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000813,halagmag,,,Calmington Lane,,Calmington Lane,,Calmington Lane,,Newmoor Lane,,,,,,NE,E0037827,Keckwick,Daresbury,,Runcorn,EN,Keckwick,EN,false,UKOS,356707,383638,-2.65179,53.34785,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000814,halagmaj,,,Calmington Lane,,Calmington Lane,,Calmington Lane,,Newmoor Lane,,,,,,SW,E0037827,Keckwick,Daresbury,,Runcorn,EN,Keckwick,EN,false,UKOS,356718,383633,-2.65162,53.34781,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
