step,datetime,meters_to_allocate,meters_adjusted,agents_released
144.000000,1970-01-03T00:00,2455.7014,2455.7014,1
145.000000,1970-01-03T00:20,2305.4314,2305.4314,1
146.000000,1970-01-03T00:40,2157.1415,2157.1415,1
147.000000,1970-01-03T01:00,2012.6152,2012.6152,1
148.000000,1970-01-03T01:20,1873.3964,1873.3964,1
149.000000,1970-01-03T01:40,1740.7720,1740.7720,1
150.000000,1970-01-03T02:00,1615.7646,1615.7646,1
151.000000,1970-01-03T02:20,1499.1335,1499.1335,1
152.000000,1970-01-03T02:40,1391.3861,1391.3861,1
153.000000,1970-01-03T03:00,1292.7949,1292.7949,1
154.000000,1970-01-03T03:20,1203.4237,1203.4237,1
155.000000,1970-01-03T03:40,1123.1677,1123.1677,1
156.000000,1970-01-03T04:00,1051.8388,1051.8388,1
157.000000,1970-01-03T04:20,989.3908,989.3908,1
158.000000,1970-01-03T04:40,936.5399,936.5399,1
159.000000,1970-01-03T05:00,896.3036,896.3036,1
160.000000,1970-01-03T05:20,877.2277,877.2277,1
161.000000,1970-01-03T05:40,898.7646,898.7646,1
162.000000,1970-01-03T06:00,997.4967,997.4967,1
163.000000,1970-01-03T06:20,1229.2523,1229.2523,1
164.000000,1970-01-03T06:40,1658.5656,1658.5656,1
165.000000,1970-01-03T07:00,2328.6164,2328.6164,1
166.000000,1970-01-03T07:20,3216.8135,3216.8135,1
167.000000,1970-01-03T07:40,4200.1615,4200.1615,2
168.000000,1970-01-03T08:00,5064.2258,5064.2258,2
169.000000,1970-01-03T08:20,5571.8714,5571.8714,3
170.000000,1970-01-03T08:40,5565.9813,5565.9813,3
171.000000,1970-01-03T09:00,5046.2788,5046.2788,2
172.000000,1970-01-03T09:20,4169.3241,4169.3241,2
173.000000,1970-01-03T09:40,3171.6850,3171.6850,1
174.000000,1970-01-03T10:00,2267.2129,2267.2129,1
175.000000,1970-01-03T10:20,1578.3006,1578.3006,1
176.000000,1970-01-03T10:40,1126.9535,1126.9535,1
177.000000,1970-01-03T11:00,870.0406,870.0406,1
178.000000,1970-01-03T11:20,749.5959,749.5959,1
179.000000,1970-01-03T11:40,753.6937,753.6937,1
180.000000,1970-01-03T12:00,996.2928,996.2928,1
181.000000,1970-01-03T12:20,1673.1471,1673.1471,1
182.000000,1970-01-03T12:40,2638.1166,2638.1166,1
183.000000,1970-01-03T13:00,3132.2793,3132.2793,1
184.000000,1970-01-03T13:20,2637.8597,2637.8597,1
185.000000,1970-01-03T13:40,1672.6065,1672.6065,1
186.000000,1970-01-03T14:00,995.4126,995.4126,1
187.000000,1970-01-03T14:20,752.3856,752.3856,1
188.000000,1970-01-03T14:40,747.7334,747.7334,1
189.000000,1970-01-03T15:00,867.4557,867.4557,1
190.000000,1970-01-03T15:20,1123.4471,1123.4471,1
191.000000,1970-01-03T15:40,1573.7142,1573.7142,1
192.000000,1970-01-03T16:00,2261.7053,2261.7053,1
193.000000,1970-01-03T16:20,3166.5841,3166.5841,1
194.000000,1970-01-03T16:40,4169.3289,4169.3289,2
195.000000,1970-01-03T17:00,5064.2289,5064.2289,2
196.000000,1970-01-03T17:20,5631.3016,5631.3016,3
197.000000,1970-01-03T17:40,5742.0388,5742.0388,3
198.000000,1970-01-03T18:00,5434.3944,5434.3944,3
199.000000,1970-01-03T18:20,4900.8213,4900.8213,2
200.000000,1970-01-03T18:40,4388.0167,4388.0167,2
201.000000,1970-01-03T19:00,4068.0266,4068.0266,2
202.000000,1970-01-03T19:20,3959.4731,3959.4731,2
203.000000,1970-01-03T19:40,3942.0772,3942.0772,2
204.000000,1970-01-03T20:00,3846.3605,3846.3605,2
205.000000,1970-01-03T20:20,3707.5340,3707.5340,2
206.000000,1970-01-03T20:40,3620.0573,3620.0573,2
207.000000,1970-01-03T21:00,3547.3414,3547.3414,1
208.000000,1970-01-03T21:20,3470.3269,3470.3269,1
209.000000,1970-01-03T21:40,3381.2463,3381.2463,1
210.000000,1970-01-03T22:00,3278.2208,3278.2208,1
211.000000,1970-01-03T22:20,3162.0034,3162.0034,1
212.000000,1970-01-03T22:40,3034.4039,3034.4039,1
213.000000,1970-01-03T23:00,2897.6317,2897.6317,1
214.000000,1970-01-03T23:20,2754.0307,2754.0307,1
215.000000,1970-01-03T23:40,2605.9569,2605.9569,1
