step,datetime,meters_to_allocate,meters_adjusted,agents_released
72.000000,1970-01-02T00:00,71973.1953,35986.5977,19
73.000000,1970-01-02T00:20,67568.9914,20627.6280,11
74.000000,1970-01-02T00:40,63222.8214,22992.5594,12
75.000000,1970-01-02T01:00,58986.9545,35314.5642,17
76.000000,1970-01-02T01:20,54906.6445,47364.3251,26
77.000000,1970-01-02T01:40,51019.6101,48676.8578,26
78.000000,1970-01-02T02:00,47355.8142,39432.7187,20
79.000000,1970-01-02T02:20,43937.5198,15637.5207,8
80.000000,1970-01-02T02:40,40779.5924,-4152.2612,0
81.000000,1970-01-02T03:00,37890.0218,-18790.4361,0
82.000000,1970-01-02T03:20,35270.6756,-27023.5167,0
83.000000,1970-01-02T03:40,32918.4849,-35832.2011,0
84.000000,1970-01-02T04:00,30827.9323,-48654.4413,0
85.000000,1970-01-02T04:20,28997.6684,-65263.7073,0
86.000000,1970-01-02T04:40,27448.6845,-90462.0249,0
87.000000,1970-01-02T05:00,26269.4142,-127454.4121,0
88.000000,1970-01-02T05:20,25710.3250,-172422.5786,0
89.000000,1970-01-02T05:40,26341.5422,-212488.6808,0
90.000000,1970-01-02T06:00,29235.2416,-243391.3407,0
91.000000,1970-01-02T06:20,36027.6777,-279644.7705,0
92.000000,1970-01-02T06:40,48610.2542,-308163.7867,0
93.000000,1970-01-02T07:00,68248.5101,-329472.9261,0
94.000000,1970-01-02T07:20,94280.3334,-338005.7920,0
95.000000,1970-01-02T07:40,123100.8982,-323851.9556,0
96.000000,1970-01-02T08:00,148425.4227,-286746.2952,0
97.000000,1970-01-02T08:20,163303.8087,-242962.5565,0
98.000000,1970-01-02T08:40,163131.1771,-201898.7510,0
99.000000,1970-01-02T09:00,147899.4199,-167870.3408,0
100.000000,1970-01-02T09:20,122197.0961,-135555.9235,0
101.000000,1970-01-02T09:40,92957.6809,-117724.2383,0
102.000000,1970-01-02T10:00,66448.8590,-119133.5026,0
103.000000,1970-01-02T10:20,46257.7966,-126421.1430,0
104.000000,1970-01-02T10:40,33029.4411,-136606.1630,0
105.000000,1970-01-02T11:00,25499.6817,-142691.6570,0
106.000000,1970-01-02T11:20,21969.6140,-148435.3734,0
107.000000,1970-01-02T11:40,22089.7160,-152837.7795,0
108.000000,1970-01-02T12:00,29199.9569,-152432.8150,0
109.000000,1970-01-02T12:20,49037.6172,-136174.9294,0
110.000000,1970-01-02T12:40,77319.5325,-104784.8876,0
111.000000,1970-01-02T13:00,91802.7537,-62648.4657,0
112.000000,1970-01-02T13:20,77312.0037,-25123.3432,0
113.000000,1970-01-02T13:40,49021.7713,-1444.5326,0
114.000000,1970-01-02T14:00,29174.1602,13091.8908,7
115.000000,1970-01-02T14:20,22051.3761,23825.2179,13
116.000000,1970-01-02T14:40,21915.0263,27873.7228,15
117.000000,1970-01-02T15:00,25423.9206,24537.1040,13
118.000000,1970-01-02T15:20,32926.6725,22440.4571,12
119.000000,1970-01-02T15:40,46123.3776,26545.5581,14
120.000000,1970-01-02T16:00,66287.4405,43712.8403,24
121.000000,1970-01-02T16:20,92808.1800,72282.5474,40
122.000000,1970-01-02T16:40,122197.2356,101595.6348,55
123.000000,1970-01-02T17:00,148425.5130,128617.7880,69
124.000000,1970-01-02T17:20,165045.6262,145210.0072,75
125.000000,1970-01-02T17:40,168291.1788,144944.9486,80
126.000000,1970-01-02T18:00,159274.5503,130848.4098,68
127.000000,1970-01-02T18:20,143636.2634,100881.0777,52
128.000000,1970-01-02T18:40,128606.6727,72099.1093,39
129.000000,1970-01-02T19:00,119228.2078,56062.1129,30
130.000000,1970-01-02T19:20,116046.6559,56747.1905,31
131.000000,1970-01-02T19:40,115536.8052,68819.8862,38
132.000000,1970-01-02T20:00,112731.4819,83961.9147,45
133.000000,1970-01-02T20:20,108662.6705,87924.2894,42
134.000000,1970-01-02T20:40,106098.8510,86145.9920,46
135.000000,1970-01-02T21:00,103967.6466,81036.1021,43
136.000000,1970-01-02T21:20,101710.4608,70927.6244,36
137.000000,1970-01-02T21:40,99099.6300,64727.2677,35
138.000000,1970-01-02T22:00,96080.0975,61784.6383,34
139.000000,1970-01-02T22:20,92673.9259,59162.4951,31
140.000000,1970-01-02T22:40,88934.1631,55181.5412,29
141.000000,1970-01-02T23:00,84925.5589,51554.1993,28
142.000000,1970-01-02T23:20,80716.8133,41020.4309,20
143.000000,1970-01-02T23:40,76376.9749,33037.3567,18
