step,datetime,meters_to_allocate,meters_adjusted,agents_released
1.000000,1970-01-01T00:20,520.4225,520.4225,1
2.000000,1970-01-01T00:40,486.9479,486.9479,1
3.000000,1970-01-01T01:00,454.3229,454.3229,1
4.000000,1970-01-01T01:20,422.8959,422.8959,1
5.000000,1970-01-01T01:40,392.9576,392.9576,1
6.000000,1970-01-01T02:00,364.7388,364.7388,1
7.000000,1970-01-01T02:20,338.4107,338.4107,1
8.000000,1970-01-01T02:40,314.0881,314.0881,1
9.000000,1970-01-01T03:00,291.8324,291.8324,1
10.000000,1970-01-01T03:20,271.6579,271.6579,1
11.000000,1970-01-01T03:40,253.5411,253.5411,0
12.000000,1970-01-01T04:00,237.4395,237.4395,1
13.000000,1970-01-01T04:20,223.3427,223.3427,1
14.000000,1970-01-01T04:40,211.4122,211.4122,1
15.000000,1970-01-01T05:00,202.3294,202.3294,1
16.000000,1970-01-01T05:20,198.0232,198.0232,1
17.000000,1970-01-01T05:40,202.8849,202.8849,1
18.000000,1970-01-01T06:00,225.1725,225.1725,1
19.000000,1970-01-01T06:20,277.4884,277.4884,1
20.000000,1970-01-01T06:40,374.4006,374.4006,1
21.000000,1970-01-01T07:00,525.6562,525.6562,1
22.000000,1970-01-01T07:20,726.1556,726.1556,1
23.000000,1970-01-01T07:40,948.1342,948.1342,1
24.000000,1970-01-01T08:00,1143.1860,1143.1860,1
25.000000,1970-01-01T08:20,1257.7807,1257.7807,0
26.000000,1970-01-01T08:40,1256.4511,1256.4511,1
27.000000,1970-01-01T09:00,1139.1347,1139.1347,1
28.000000,1970-01-01T09:20,941.1731,941.1731,1
29.000000,1970-01-01T09:40,715.9685,715.9685,0
30.000000,1970-01-01T10:00,511.7951,511.7951,0
31.000000,1970-01-01T10:20,356.2817,356.2817,0
32.000000,1970-01-01T10:40,254.3957,254.3957,0
