step,datetime,meters_to_allocate,meters_adjusted,agents_released
360.000000,1970-01-06T00:00,73239.4652,36619.7326,20
361.000000,1970-01-06T00:20,68757.7753,31586.3028,17
362.000000,1970-01-06T00:40,64335.1404,37362.8315,17
363.000000,1970-01-06T01:00,60024.7492,46011.1601,24
364.000000,1970-01-06T01:20,55872.6517,51645.5082,28
365.000000,1970-01-06T01:40,51917.2303,44919.9092,24
366.000000,1970-01-06T02:00,48188.9749,27974.1382,14
367.000000,1970-01-06T02:20,44710.5403,-3939.0726,0
368.000000,1970-01-06T02:40,41497.0535,-45007.0958,0
369.000000,1970-01-06T03:00,38556.6449,-86249.1960,0
370.000000,1970-01-06T03:20,35891.2148,-126313.2736,0
371.000000,1970-01-06T03:40,33497.6406,-171658.3852,0
372.000000,1970-01-06T04:00,31370.3076,-217913.2058,0
373.000000,1970-01-06T04:20,29507.8427,-254393.3084,0
374.000000,1970-01-06T04:40,27931.6065,-312384.2337,0
375.000000,1970-01-06T05:00,26731.5886,-367237.9161,0
376.000000,1970-01-06T05:20,26162.6630,-419552.7404,0
377.000000,1970-01-06T05:40,26804.9856,-465431.7402,0
378.000000,1970-01-06T06:00,29749.5957,-497592.4576,0
379.000000,1970-01-06T06:20,36661.5353,-530754.1970,0
380.000000,1970-01-06T06:40,49465.4850,-563667.0091,0
381.000000,1970-01-06T07:00,69449.2492,-580718.0294,0
382.000000,1970-01-06T07:20,95939.0667,-572914.1405,0
383.000000,1970-01-06T07:40,125266.6900,-556309.5350,0
384.000000,1970-01-06T08:00,151036.7648,-529228.1206,0
385.000000,1970-01-06T08:20,166176.9156,-489241.3749,0
386.000000,1970-01-06T08:40,166001.2469,-443624.7630,0
387.000000,1970-01-06T09:00,150501.5077,-398594.4970,0
388.000000,1970-01-06T09:20,124346.9867,-369701.9954,0
389.000000,1970-01-06T09:40,94593.1440,-360644.7208,0
390.000000,1970-01-06T10:00,67617.9356,-358584.4903,0
391.000000,1970-01-06T10:20,47071.6392,-360367.8133,0
392.000000,1970-01-06T10:40,33610.5489,-365375.8850,0
393.000000,1970-01-06T11:00,25948.3137,-365004.1052,0
394.000000,1970-01-06T11:20,22356.1393,-363350.7647,0
395.000000,1970-01-06T11:40,22478.3543,-364862.1670,0
396.000000,1970-01-06T12:00,29713.6902,-361440.1888,0
397.000000,1970-01-06T12:20,49900.3670,-341801.9684,0
398.000000,1970-01-06T12:40,78679.8638,-304188.9553,0
399.000000,1970-01-06T13:00,93417.8975,-257631.8974,0
400.000000,1970-01-06T13:20,78672.2025,-218295.7961,0
401.000000,1970-01-06T13:40,49884.2423,-193353.6750,0
402.000000,1970-01-06T14:00,29687.4396,-178509.9552,0
403.000000,1970-01-06T14:20,22439.3399,-167290.2852,0
404.000000,1970-01-06T14:40,22300.5912,-156139.9896,0
405.000000,1970-01-06T15:00,25871.2197,-143204.3798,0
406.000000,1970-01-06T15:20,33505.9722,-126451.3937,0
407.000000,1970-01-06T15:40,46934.8552,-102983.9661,0
408.000000,1970-01-06T16:00,67453.6772,-69257.1275,0
409.000000,1970-01-06T16:20,94441.0128,-22036.6210,0
410.000000,1970-01-06T16:40,124347.1287,40136.9433,22
