step,datetime,meters_to_allocate,meters_adjusted,agents_released
288.000000,1970-01-05T00:00,57.1832,28.5916,1
289.000000,1970-01-05T00:20,53.6840,6.9020,0
290.000000,1970-01-05T00:40,50.2310,-706.6835,0
291.000000,1970-01-05T01:00,46.8656,-683.2508,0
292.000000,1970-01-05T01:20,43.6237,-661.4389,0
293.000000,1970-01-05T01:40,40.5354,-641.1712,0
294.000000,1970-01-05T02:00,37.6245,-622.3589,0
295.000000,1970-01-05T02:20,34.9087,-604.9046,0
296.000000,1970-01-05T02:40,32.3997,-588.7048,0
297.000000,1970-01-05T03:00,30.1039,-573.6528,0
298.000000,1970-01-05T03:20,28.0228,-559.6414,0
299.000000,1970-01-05T03:40,26.1540,-546.5644,0
300.000000,1970-01-05T04:00,24.4930,-534.3179,0
301.000000,1970-01-05T04:20,23.0389,-522.7985,0
302.000000,1970-01-05T04:40,21.8082,-511.8944,0
303.000000,1970-01-05T05:00,20.8712,-501.4588,0
304.000000,1970-01-05T05:20,20.4270,-491.2453,0
305.000000,1970-01-05T05:40,20.9285,-480.7810,0
306.000000,1970-01-05T06:00,23.2276,-469.1672,0
307.000000,1970-01-05T06:20,28.6242,-454.8551,0
308.000000,1970-01-05T06:40,38.6212,-435.5445,0
309.000000,1970-01-05T07:00,54.2239,-408.4325,0
310.000000,1970-01-05T07:20,74.9064,-416.4237,0
311.000000,1970-01-05T07:40,97.8045,-1091.4772,0
312.000000,1970-01-05T08:00,117.9251,-1032.5147,0
313.000000,1970-01-05T08:20,129.7460,-967.6417,0
314.000000,1970-01-05T08:40,129.6089,-902.8372,0
315.000000,1970-01-05T09:00,117.5071,-844.0836,0
316.000000,1970-01-05T09:20,97.0865,-795.5404,0
317.000000,1970-01-05T09:40,73.8555,-758.6126,0
318.000000,1970-01-05T10:00,52.7941,-732.2156,0
319.000000,1970-01-05T10:20,36.7521,-713.8395,0
320.000000,1970-01-05T10:40,26.2421,-700.7185,0
321.000000,1970-01-05T11:00,20.2597,-690.5886,0
322.000000,1970-01-05T11:20,17.4550,-681.8611,0
323.000000,1970-01-05T11:40,17.5504,-673.0859,0
324.000000,1970-01-05T12:00,23.1996,-661.4861,0
325.000000,1970-01-05T12:20,38.9607,-642.0057,0
326.000000,1970-01-05T12:40,61.4309,-611.2903,0
327.000000,1970-01-05T13:00,72.9379,-574.8213,0
328.000000,1970-01-05T13:20,61.4249,-544.1088,0
329.000000,1970-01-05T13:40,38.9481,-524.6348,0
330.000000,1970-01-05T14:00,23.1791,-513.0452,0
331.000000,1970-01-05T14:20,17.5200,-504.2852,0
332.000000,1970-01-05T14:40,17.4116,-495.5794,0
333.000000,1970-01-05T15:00,20.1995,-485.4797,0
334.000000,1970-01-05T15:20,26.1605,-472.3994,0
335.000000,1970-01-05T15:40,36.6454,-454.0768,0
336.000000,1970-01-05T16:00,52.6658,-427.7438,0
337.000000,1970-01-05T16:20,73.7368,-390.8755,0
338.000000,1970-01-05T16:40,97.0866,-342.3322,0
339.000000,1970-01-05T17:00,117.9251,-283.3696,0
340.000000,1970-01-05T17:20,131.1299,-217.8047,0
341.000000,1970-01-05T17:40,133.7085,-150.9504,0
342.000000,1970-01-05T18:00,126.5448,-87.6780,0
343.000000,1970-01-05T18:20,114.1200,-30.6180,0
344.000000,1970-01-05T18:40,102.1789,20.4715,1
345.000000,1970-01-05T19:00,94.7277,38.4445,0
346.000000,1970-01-05T19:20,92.1999,-651.9334,0
347.000000,1970-01-05T19:40,91.7948,-606.0360,0
348.000000,1970-01-05T20:00,89.5660,-561.2530,0
349.000000,1970-01-05T20:20,86.3333,-518.0864,0
350.000000,1970-01-05T20:40,84.2963,-475.9382,0
351.000000,1970-01-05T21:00,82.6030,-434.6367,0
352.000000,1970-01-05T21:20,80.8097,-394.2319,0
353.000000,1970-01-05T21:40,78.7354,-354.8642,0
354.000000,1970-01-05T22:00,76.3363,-316.6960,0
355.000000,1970-01-05T22:20,73.6301,-279.8810,0
356.000000,1970-01-05T22:40,70.6588,-244.5516,0
357.000000,1970-01-05T23:00,67.4740,-210.8146,0
358.000000,1970-01-05T23:20,64.1301,-178.7496,0
359.000000,1970-01-05T23:40,60.6820,-148.4085,0
